dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
2020-01-06,1,6,2020,104.0,6.0,Netherlands,NL,NLD,17407585,Europe
2020-01-06,1,6,2020,141.0,10.0,Romania,RO,ROU,19328838,Europe
2020-01-06,1,6,2020,178.0,60.0,Italy,IT,ITA,59641488,Europe
2020-01-06,1,6,2020,0.0,0.0,Slovakia,SK,SVK,5457873,Europe
2020-01-06,1,6,2020,3.0,0.0,Lithuania,LT,LTU,2794090,Europe
2020-01-06,1,6,2020,19.0,4.0,Bulgaria,BG,BGR,6951482,Europe
2020-01-06,1,6,2020,16.0,1.0,Hungary,HU,HUN,9769526,Europe
2020-01-06,1,6,2020,19.0,1.0,Austria,AT,AUT,8901064,Europe
2020-01-06,1,6,2020,72.0,-1.0,Ireland,IE,IRL,4964440,Europe
2020-01-06,1,6,2020,379.0,10.0,Poland,PL,POL,37958138,Europe
2020-01-06,1,6,2020,17.0,0.0,Finland,FI,FIN,5525292,Europe
2020-01-06,1,6,2020,136.0,5.0,Germany,DE,DEU,83166711,Europe
2020-01-06,1,6,2020,338.0,31.0,France,FR,FRA,67320216,Europe
2020-01-06,1,6,2020,0.0,0.0,Iceland,IS,ISL,364134,Europe
2020-01-06,1,6,2020,0.0,0.0,Liechtenstein,LI,LIE,38747,Europe
2020-01-06,1,6,2020,648.0,39.0,Sweden,SE,SWE,10327589,Europe
2020-01-06,1,6,2020,7.0,0.0,Norway,NO,NOR,5367580,Europe
2020-01-06,1,6,2020,0.0,0.0,Latvia,LV,LVA,1907675,Europe
2020-01-06,1,6,2020,433.0,34.0,Spain,ES,ESP,47332614,Europe
2020-01-06,1,6,2020,0.0,0.0,Estonia,EE,EST,1328976,Europe
2020-01-06,1,6,2020,1.0,0.0,Luxembourg,LU,LUX,626108,Europe
2020-01-06,1,6,2020,5.0,0.0,Cyprus,CY,CYP,888005,Europe
2020-01-06,1,6,2020,59.0,21.0,Belgium,BE,BEL,11522440,Europe
2020-01-06,1,6,2020,1.0,0.0,Malta,MT,MLT,514564,Europe
2020-01-06,1,6,2020,2.0,0.0,Greece,EL,GRC,10718565,Europe
2020-01-06,1,6,2020,2.0,1.0,Slovenia,SI,SVN,2095861,Europe
2020-01-06,1,6,2020,0.0,0.0,Croatia,HR,HRV,4058165,Europe
2020-01-06,1,6,2020,331.0,12.0,Portugal,PT,PRT,10295909,Europe
2020-01-07,1,7,2020,135.0,3.0,Belgium,BE,BEL,11522440,Europe
2020-01-07,1,7,2020,26.0,1.0,Denmark,DK,DNK,5822763,Europe
2020-01-07,1,7,2020,50.0,0.0,Luxembourg,LU,LUX,626108,Europe
2020-01-07,1,7,2020,1.0,0.0,Malta,MT,MLT,514564,Europe
2020-01-07,1,7,2020,62.0,3.0,Netherlands,NL,NLD,17407585,Europe
2020-01-07,1,7,2020,165.0,7.0,Bulgaria,BG,BGR,6951482,Europe
2020-01-07,1,7,2020,8.0,0.0,Norway,NO,NOR,5367580,Europe
2020-01-07,1,7,2020,4.0,1.0,Lithuania,LT,LTU,2794090,Europe
2020-01-07,1,7,2020,0.0,0.0,Liechtenstein,LI,LIE,38747,Europe
2020-01-07,1,7,2020,91.0,0.0,Czechia,CZ,CZE,10693939,Europe
2020-01-07,1,7,2020,95.0,1.0,Austria,AT,AUT,8901064,Europe
2020-01-07,1,7,2020,1.0,0.0,Estonia,EE,EST,1328976,Europe
2020-01-07,1,7,2020,13.0,0.0,Slovakia,SK,SVK,5457873,Europe
2020-01-07,1,7,2020,685.0,15.0,Sweden,SE,SWE,10327589,Europe
2020-01-07,1,7,2020,482.0,5.0,Germany,DE,DEU,83166711,Europe
2020-01-07,1,7,2020,382.0,14.0,Poland,PL,POL,37958138,Europe
2020-01-07,1,7,2020,4.0,2.0,Ireland,IE,IRL,4964440,Europe
2020-01-07,1,7,2020,918.0,18.0,France,FR,FRA,67320216,Europe
2020-01-07,1,7,2020,23.0,0.0,Greece,EL,GRC,10718565,Europe
2020-01-07,1,7,2020,326.0,16.0,Romania,RO,ROU,19328838,Europe
2020-01-07,1,7,2020,2.0,1.0,Hungary,HU,HUN,9769526,Europe
2020-01-07,1,7,2020,3.0,0.0,Latvia,LV,LVA,1907675,Europe
2020-01-07,1,7,2020,1.0,0.0,Cyprus,CY,CYP,888005,Europe
2020-01-07,1,7,2020,562.0,10.0,Spain,ES,ESP,47332614,Europe
2020-01-07,1,7,2020,367.0,7.0,Portugal,PT,PRT,10295909,Europe
2020-01-07,1,7,2020,2.0,0.0,Finland,FI,FIN,5525292,Europe
2020-01-07,1,7,2020,21.0,0.0,Slovenia,SI,SVN,2095861,Europe
2020-01-07,1,7,2020,182.0,21.0,Italy,IT,ITA,59641488,Europe
2020-01-07,1,7,2020,54.0,1.0,Croatia,HR,HRV,4058165,Europe
2020-01-07,1,7,2020,2.0,0.0,Iceland,IS,ISL,364134,Europe
2020-01-08,1,8,2020,62.0,3.0,Austria,AT,AUT,8901064,Europe
2020-01-08,1,8,2020,1628.0,6.0,France,FR,FRA,67320216,Europe
2020-01-08,1,8,2020,136.0,1.0,Portugal,PT,PRT,10295909,Europe
2020-01-08,1,8,2020,110.0,0.0,Greece,EL,GRC,10718565,Europe
2020-01-08,1,8,2020,14.0,0.0,Norway,NO,NOR,5367580,Europe
2020-01-08,1,8,2020,0.0,0.0,Liechtenstein,LI,LIE,38747,Europe
2020-01-08,1,8,2020,7.0,0.0,Estonia,EE,EST,1328976,Europe
2020-01-08,1,8,2020,14.0,0.0,Iceland,IS,ISL,364134,Europe
2020-01-08,1,8,2020,21.0,0.0,Malta,MT,MLT,514564,Europe
2020-01-08,1,8,2020,86.0,0.0,Croatia,HR,HRV,4058165,Europe
2020-01-08,1,8,2020,3624.0,13.0,Spain,ES,ESP,47332614,Europe
2020-01-08,1,8,2020,7.0,0.0,Latvia,LV,LVA,1907675,Europe
2020-01-08,1,8,2020,18.0,0.0,Lithuania,LT,LTU,2794090,Europe
2020-01-08,1,8,2020,303.0,2.0,Sweden,SE,SWE,10327589,Europe
2020-01-08,1,8,2020,48.0,1.0,Luxembourg,LU,LUX,626108,Europe
2020-01-08,1,8,2020,125.0,2.0,Czechia,CZ,CZE,10693939,Europe
2020-01-08,1,8,2020,44.0,0.0,Ireland,IE,IRL,4964440,Europe
2020-01-08,1,8,2020,431.0,1.0,Netherlands,NL,NLD,17407585,Europe
2020-01-08,1,8,2020,1225.0,36.0,Romania,RO,ROU,19328838,Europe
2020-01-08,1,8,2020,658.0,5.0,Poland,PL,POL,37958138,Europe
2020-01-08,1,8,2020,295.0,5.0,Italy,IT,ITA,59641488,Europe
2020-01-08,1,8,2020,10.0,0.0,Cyprus,CY,CYP,888005,Europe
2020-01-08,1,8,2020,15.0,0.0,Finland,FI,FIN,5525292,Europe
2020-01-08,1,8,2020,309.0,1.0,Belgium,BE,BEL,11522440,Europe
2020-01-08,1,8,2020,7.0,0.0,Slovakia,SK,SVK,5457873,Europe
2020-01-08,1,8,2020,562.0,1.0,Germany,DE,DEU,83166711,Europe
2020-01-08,1,8,2020,21.0,1.0,Hungary,HU,HUN,9769526,Europe
2020-01-08,1,8,2020,146.0,9.0,Bulgaria,BG,BGR,6951482,Europe
2020-01-08,1,8,2020,0.0,0.0,Denmark,DK,DNK,5822763,Europe
2020-01-08,1,8,2020,9.0,0.0,Slovenia,SI,SVN,2095861,Europe
2020-01-09,1,9,2020,1053.0,60.0,Romania,RO,ROU,19328838,Europe
2020-01-09,1,9,2020,11473.0,67.0,Spain,ES,ESP,47332614,Europe
2020-01-09,1,9,2020,29.0,1.0,Finland,FI,FIN,5525292,Europe
